species,cu_branch_length
Rhynochetos_jubatus,54.92086327011567
Eurypyga_helias,54.92086327011567
Phaethon_lepturus,47.49521791921122
Spizaetus_tyrannus,68.5114544691116
Aquila_chrysaetos,68.5114544691116
Haliaeetus_leucocephalus,71.35528184123824
Haliaeetus_albicilla,71.35528184123824
Circaetus_pectoralis,62.38899787059466
Pandion_haliaetus,56.15864021326655
Sagittarius_serpentarius,51.107170970234556
Cathartes_aura,48.20198360662853
Strix_occidentalis,61.421738574670634
Ciccaba_nigrolineata,61.421738574670634
Glaucidium_brasilianum,56.17925748110203
Tyto_alba,49.84112640671419
Semnornis_frantzii,74.30012595325698
Ramphastos_sulfuratus,74.30012595325698
Eubucco_bourcierii,73.2493266366505
Tricholaema_leucomelas,66.74313806157298
Psilopogon_haemacephalus,65.52649435110025
Indicator_maculatus,64.62740723176397
Picoides_pubescens,64.62740723176397
Galbula_dea,55.74517218798456
Bucco_capensis,55.74517218798456
Halcyon_senegalensis,66.08097695918437
Chloroceryle_aenea,66.08097695918437
Ceyx_cyanopectus,65.49358999768884
Baryphthengus_martii,59.600142391851044
Todus_mexicanus,57.246264027444
Eurystomus_gularis,59.88592764702822
Brachypteracias_leptosomus,59.88592764702822
Merops_nubicus,54.50430503695137
Upupa_epops,58.0787834441513
Rhinopomastus_cyanomelas,58.0787834441513
Bucorvus_abyssinicus,57.363225321254234
Buceros_rhinoceros,57.363225321254234
Trogon_melanurus,56.52570514018783
Apaloderma_vittatum,56.52570514018783
Leptosomus_discolor,48.20652969876901
Urocolius_indicus,56.32392931308632
Colius_striatus,56.32392931308632
Chunga_burmeisteri,55.94939056410776
Cariama_cristata,55.94939056410776
Falco_peregrinus,63.89479572333584
Falco_cherrug,63.89479572333584
Herpetotheres_cachinnans,54.88767549655872
Melopsittacus_undulatus,69.75374576707912
Agapornis_roseicollis,69.75374576707912
Amazona_guildingii,65.43741610432004
Probosciger_aterrimus,66.7976871421315
Eolophus_roseicapillus,66.7976871421315
Nestor_notabilis,56.28970161490519
Tyrannus_savana,76.08217488251498
Mionectes_macconnelli,76.08217488251498
Tachuris_rubrigastra,75.86508425898236
Neopipo_cinnamomea,75.7770562999502
Piprites_chloris,74.96176773492105
Oxyruncus_cristatus,73.48951054564084
Onychorhynchus_coronatus,73.48951054564084
Pachyramphus_minor,73.21500869902391
Cephalopterus_ornatus,72.72212466841944
Manacus_manacus,79.89937270002083
Lepidothrix_coronata,79.89937270002083
Xiphorhynchus_elegans,90.16855718024316
Campylorhamphus_procurvoides,90.16855718024316
Furnarius_figulus,83.2328767824001
Sclerurus_mexicanus,80.73263366220313
Formicarius_rufipectus,74.81595665660792
Scytalopus_superciliaris,74.4480599875215
Grallaria_varia,72.91151102384714
Sakesphorus_luctuosus,79.16487479388321
Rhegmatorhina_hoffmannsi,79.16487479388321
Smithornis_capensis,72.15481594044601
Calyptomena_viridis,72.15481594044601
Pitta_sordida,69.22338432591039
Sapayoa_aenigma,69.22338432591039
Serilophus_lunatus,73.77994430660141
Neodrepanis_coruscans,73.77994430660141
Menura_novaehollandiae,70.36926124082113
Atrichornis_clamosus,70.36926124082113
Ptilonorhynchus_violaceus,68.73735102299088
Climacteris_rufus,68.73735102299088
Pardalotus_punctatus,79.27566316573788
Origma_solitaria,79.27566316573788
Grantiella_picta,77.35710248821854
Dasyornis_broadbenti,76.88889023008286
Malurus_elegans,74.744992316369
Pomatostomus_ruficeps,74.41981775280821
Orthonyx_spaldingii,74.41981775280821
Vireo_altiloquus,84.6709800690702
Erpornis_zantholeuca,84.6709800690702
Pteruthius_melanotis,81.0158446760362
Oreocharis_arfaki,77.98920313151865
Oriolus_oriolus,78.01288941136089
Pachycephala_philippinensis,78.01288941136089
Falcunculus_frontatus,78.5766643933519
Aleadryas_rufinucha,78.5766643933519
Eulacestoma_nigropectus,77.65341818815159
Daphoenositta_chrysoptera,77.34778641038363
Mystacornis_crossleyi,83.29837694212686
Dyaphorophyia_castanea,83.29837694212686
Dryoscopus_gambensis,82.73629942710056
Rhagologus_leucostigma,81.54882451764416
Gymnorhina_tibicen,80.94089299260362
Machaerirhynchus_nigripectus,80.7742642720033
Mohoua_ochrocephala,77.29270058652398
Corvus_cornix,99.81573795917473
Corvus_brachyrhynchos,99.81573795917473
Corvus_moneduloides,96.15650617652665
Aphelocoma_coerulescens,89.81306192191413
Lanius_ludovicianus,83.2374920025478
Paradisaea_raggiana,81.67709346133033
Ifrita_kowaldi,81.67709346133033
Struthidea_cinerea,81.55048015865368
Myiagra_hebetior,81.49124105636406
Dicrurus_megarhynchus,81.0654324046243
Rhipidura_dahli,83.02793070169389
Chaetorhynchus_papuensis,83.02793070169389
Edolisoma_coerulescens,77.14688203381317
Ptilorrhoa_leucosticta,76.44403839002294
Notiomystis_cincta,78.2398473819376
Callaeas_wilsoni,78.2398473819376
Picathartes_gymnocephalus,82.15590848166767
Chaetops_frenatus,82.15590848166767
Drymodes_brunneopygia,77.3779247748806
Leiothrix_lutea,89.59125159103861
Illadopsis_cleaveri,89.59125159103861
Pomatorhinus_ruficollis,89.27206756090817
Zosterops_lateralis,98.126750090345
Zosterops_hypoxanthus,98.126750090345
Sterrhoptilus_dennistouni,94.30875104358212
Sylvia_borin,95.71928790571256
Sylvia_atricapilla,95.71928790571256
Sinosuthora_webbiana,89.88751571308549
Pycnonotus_jocosus,92.17264918333031
Brachypodius_atriceps,92.17264918333031
Horornis_vulcanius,94.28649882545287
Cettia_cetti,94.28649882545287
Erythrocercus_mccallii,89.2552316492472
Aegithalos_caudatus,88.1193813878435
Hylia_prasina,87.74110695313287
Rhadina_sibilatrix,92.80423768150104
Phylloscopus_trochilus,92.80423768150104
Hirundo_rustica,85.90791821779929
Donacobius_atricapilla,87.6369658261196
