LABEL	SRATE	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN
N109	0.07142	417369.0408532084	3232136.9999999995	2	4202420.999999999	2	8329269.999999998	10	5172704.999999999
Cuculus_canorus	0.049603	170836.22061110026	3060753.9999999995	1	3060753.9999999995	1	9299553.999999998	11	3060753.9999999995
Ceuthmochares_aereus	0.037182	150768.66391738018	2161611.9999999995	1	2161611.9999999995	1	9299553.999999998	12	2161611.9999999995
Piaya_cayana	0.050832	150768.66391738018	2161611.9999999995	1	2161611.9999999995	1	9299553.999999998	12	2161611.9999999995
N113	0.011829	150768.66391738018	899141.9999999999	2	3060753.9999999995	2	7137941.999999999	11	5222365.999999999
N114	0.01755	170836.22061110026	1141666.9999999998	3	4202420.999999999	3	6238799.999999999	10	9424786.999999998
N115	0.010424	145439.11726193313	624797.9999999999	5	4827218.999999999	4	5097132.999999999	9	15222289.999999998
N186	0.004952	172569.46540683712	766415.9999999999	10	3453676	6	6612293.999999999	13	17388118
N187	0.010365	285441.63443097135	1084327.9999999998	13	4538004	7	5845877.999999999	12	27117957.999999996
N188	0.005127	264470.01561416435	531109.9999999999	14	5069114	8	4761549.999999999	11	32187072
N189	0.006309	135984.58209673787	442522.99999999994	22	5511637	9	4230439.999999999	10	57011038
Opisthocomus_hoazin	0.088716	9633474.761638643	6465508.999999999	1	6465508.999999999	1	9299553.999999998	8	6465508.999999999
Heliornis_fulica	0.085294	256235.5390922878	4053730.999999999	1	4053730.999999999	1	9299553.999999998	11	4053730.999999999
Atlantisia_rogersi	0.022882	311585.1237658014	1813228.9999999998	1	1813228.9999999998	1	9299553.999999998	12	1813228.9999999998
Zapornia_atra	0.018027	311585.1237658014	1813228.9999999998	1	1813228.9999999998	1	9299553.999999998	12	1813228.9999999998
N124	0.04843	311585.1237658014	2240501.9999999995	2	4053730.999999999	2	7486324.999999998	11	5866959.999999999
N125	0.030793	256235.5390922878	1612057.9999999998	3	5665788.999999999	3	5245822.999999999	10	11532748.999999998
