Rynchops_niger	Po
Sagittarius_serpentarius	Po
Sakesphorus_luctuosus	Po
Sapayoa_aenigma	Po
Saxicola_maurus	Po
Sclerurus_mexicanus	Po
Scopus_umbretta	Po
Scytalopus_superciliaris	Po
Semnornis_frantzii	Po
Serilophus_lunatus	Po
Serinus_canaria	Po
Setophaga_coronata	Po
Setophaga_kirtlandii	Po
Sinosuthora_webbiana	Po
Sitta_europaea	Po
Smithornis_capensis	Po
Spizaetus_tyrannus	Po
Spizella_passerina	Po
Sporophila_hypoxantha	Po
Steatornis_caripensis	Po
Stercorarius_parasiticus	Po
Sterrhoptilus_dennistouni	Po
Strix_occidentalis	Po
Struthidea_cinerea	Po
Sturnus_vulgaris	Po
Sula_dactylatra	Po
Sylvia_atricapilla	Po
Sylvia_borin	Po
Sylvietta_virens	Po
Syrrhaptes_paradoxus	Po
Tachuris_rubrigastra	Po
Taeniopygia_guttata	Po
Tauraco_erythrolophus	Po
Thalassarche_chlororhynchos	Po
Thinocorus_orbignyianus	Po
Thryothorus_ludovicianus	Po
Tichodroma_muraria	Po
Todus_mexicanus	Po
Toxostoma_redivivum	Po
Tricholaema_leucomelas	Po
Trogon_melanurus	Po
Turnix_velox	Po
Tyrannus_savana	Po
Tyto_alba	Po
Upupa_epops	Po
Uria_aalge	Po
Uria_lomvia	Po
Urocolius_indicus	Po
Urocynchramus_pylzowi	Po
Vidua_chalybeata	Po
Vidua_macroura	Po
Xiphorhynchus_elegans	Po
Zapornia_atra	Po
Zonotrichia_albicollis	Po
Zosterops_hypoxanthus	Po
Zosterops_lateralis	Po
